Rok	Miesiąc	Dzień	Godzina	Wartość
2020	01	01	1	100
2020	01	01	2	90
2020	01	01	3	85
2020	01	01	4	90
2020	01	01	5	100
2020	01	01	6	115
2020	01	01	7	135
2020	01	01	8	160
2020	01	01	9	170
2020	01	01	10	175
2020	01	01	11	165
2020	01	01	12	160
2020	01	01	13	150
2020	01	01	14	155
2020	01	01	15	165
2020	01	01	16	180
2020	01	01	17	200
2020	01	01	18	230
2020	01	01	19	245
2020	01	01	20	220
2020	01	01	21	190
2020	01	01	22	155
2020	01	01	23	120
2020	01	01	24	100
2020	01	02	1	100
2020	01	02	2	90
2020	01	02	3	85
2020	01	02	4	90
2020	01	02	5	100
2020	01	02	6	115
2020	01	02	7	135
2020	01	02	8	160
2020	01	02	9	170
2020	01	02	10	175
2020	01	02	11	165
2020	01	02	12	160
2020	01	02	13	150
2020	01	02	14	155
2020	01	02	15	165
2020	01	02	16	180
2020	01	02	17	200
2020	01	02	18	230
2020	01	02	19	245
2020	01	02	20	220
2020	01	02	21	190
2020	01	02	22	155
2020	01	02	23	120
2020	01	02	24	100
